date,Revenue,bing_cost,pinterest_cost,google_ads_cost,hulu_cost,facebook_cost
2021-04-04,158951.85,779.53,1508.31,14220.38,0.00,10785.44
2021-04-05,150662.81,746.29,1508.59,10337.81,0.00,10459.16
2021-04-06,120323.16,618.70,1515.51,8697.60,0.00,10889.27
2021-04-07,133688.74,522.30,1516.38,8229.12,0.00,11350.79
2021-04-08,95481.09,618.57,1518.23,8050.95,0.00,11530.27
2021-04-09,130092.21,595.07,1793.10,9683.12,0.00,12421.40
2021-04-10,142772.54,735.44,1992.76,13022.72,0.00,13455.88
2021-04-11,178390.33,858.28,2000.13,17146.56,0.00,11670.35
2021-04-12,99702.67,657.52,1988.39,11206.88,0.00,11414.88
2021-04-13,128607.00,624.09,1993.92,9905.36,0.00,10471.83
2021-04-14,115813.16,574.21,1989.77,8922.04,0.00,10639.00
2021-04-15,103610.21,673.15,1934.08,10389.28,0.00,9156.63
2021-04-16,134650.40,802.20,1847.74,11300.44,0.00,8779.75
2021-04-17,169793.07,583.32,2000.77,12992.98,0.00,9841.81
2021-04-18,188714.91,615.66,2006.78,15431.31,0.00,9684.87
2021-04-19,147612.03,369.75,2000.19,10995.20,0.00,9501.37
2021-04-20,128474.37,351.39,1992.99,8320.55,0.00,9669.14
2021-04-21,123176.98,457.04,1973.37,7915.01,0.00,9454.21
2021-04-22,99996.62,663.14,2005.60,7470.31,0.00,9456.84
2021-04-23,204368.71,787.44,2000.74,8716.31,0.00,9802.90
2021-04-24,255679.38,908.24,2014.98,12343.88,0.00,10465.96
2021-04-25,247695.88,1498.28,2015.91,14752.55,0.00,9812.45
2021-04-26,176366.91,1065.44,2007.92,10050.25,0.00,10093.07
2021-04-27,153362.73,790.25,2012.37,8543.29,0.00,10603.18
2021-04-28,132862.84,715.13,2030.44,8700.81,0.00,10653.78
2021-04-29,146393.94,538.90,2205.54,9750.98,0.00,11115.53
2021-04-30,133306.30,479.52,2186.60,8972.49,0.00,11696.91
2021-05-01,151999.58,549.18,2195.67,12067.84,0.00,12311.05
2021-05-02,174375.46,538.23,2203.64,14874.47,0.00,12776.41
2021-05-03,176997.91,545.64,2350.16,10528.45,0.00,12339.98
2021-05-04,123568.43,450.65,2280.01,8726.83,0.00,11914.49
2021-05-05,126368.84,467.04,2517.20,8398.64,0.00,12111.00
2021-05-06,130875.96,534.16,2659.54,7436.99,0.00,12239.12
2021-05-07,130027.99,1363.64,2724.85,10555.02,0.00,11833.39
2021-05-08,161964.72,1996.40,2756.31,13594.92,0.00,12488.01
2021-05-09,169144.72,2535.11,2825.00,13993.03,0.00,12297.39
2021-05-10,152949.50,2763.74,2825.00,10972.62,0.00,11805.73
2021-05-11,163382.48,2210.06,2810.59,11043.49,0.00,12652.33
2021-05-12,171061.00,2881.40,2895.22,9584.48,0.00,12851.35
2021-05-13,136004.43,1272.38,2928.54,10926.91,0.00,13538.86
2021-05-14,168717.28,1922.14,2962.74,13003.12,0.00,14065.87
2021-05-15,179205.14,1799.79,2975.49,16159.81,0.00,14387.69
2021-05-16,196740.65,2384.03,3024.30,18073.74,0.00,15231.69
2021-05-17,145225.02,2245.16,3025.00,13461.52,0.00,14934.65
2021-05-18,177165.14,1687.81,3008.14,10120.07,0.00,15583.81
2021-05-19,156497.49,1535.57,3023.55,8882.99,0.00,14605.78
2021-05-20,171700.77,1296.72,2512.12,7841.94,0.00,13522.18
2021-05-21,156680.83,900.13,2509.21,8136.08,0.00,13579.96
2021-05-22,150068.30,817.66,2511.18,9025.72,0.00,13914.31
2021-05-23,186698.65,801.10,2441.99,11891.36,0.00,14070.31
2021-05-24,165720.20,711.43,2487.16,9591.40,0.00,14040.61
